"","weight","height","male","educ","physical","stamps","white","black"
"336",120,67,0,12,2,0,1,0
"337",380,72,1,11,1,0,1,0
"338",200,69,1,11,2,0,1,0
"339",165,66,0,12,2,0,1,0
"340",220,74,1,15,2,0,1,0
"341",195,71,1,7,5,0,1,0
"342",185,67,1,10,3,0,1,0
"343",140,67,0,7,3,0,1,0
"344",185,69,1,13,5,0,1,0
"345",185,71,1,11,4,0,1,0
"346",140,63,0,12,5,0,0,1
"347",106,65,0,14,1,0,1,0
"348",165,63,0,12,4,0,1,0
"349",185,68,1,12,1,0,1,0
"350",160,65,0,16,5,0,0,1
"351",120,65,0,15,4,0,1,0
"352",105,58,0,10,1,0,1,0
"353",200,69,1,14,5,0,1,0
"354",200,71,1,11,4,0,1,0
"355",126,67,0,14,3,0,1,0
"356",114,62,0,11,2,0,1,0
"357",162,67,0,16,3,0,1,0
"358",156,71,1,13,4,0,0,1
"359",223,67,0,13,3,0,0,1
"360",210,69,0,16,1,0,0,0
"361",190,71,1,15,4,0,0,0
"362",125,63,0,11,2,0,0,0
"363",175,68,1,12,3,0,0,0
"364",180,62,0,8,5,0,1,0
"365",190,67,1,10,5,0,1,0
"366",230,72,1,15,2,0,1,0
"367",190,68,1,10,1,0,0,1
"368",167,63,0,6,1,0,0,1
"369",140,64,0,16,2,0,1,0
"370",165,66,0,14,5,0,0,1
"371",155,67,1,8,1,0,0,0
"372",125,63,0,12,2,0,0,1
"373",165,66,1,8,3,0,0,1
"374",180,68,0,8,3,0,1,0
"375",250,72,1,17,5,0,1,0
"376",130,62,0,8,2,0,1,0
"377",162,62,0,11,1,0,0,1
"378",143,64,1,12,3,0,0,1
"379",165,65,1,16,1,0,1,0
"380",152,67,0,12,1,0,1,0
"381",98,61,0,12,5,0,1,0
"382",270,75,1,12,5,0,1,0
"383",150,66,0,12,2,0,1,0
"384",160,67,0,17,2,0,1,0
"385",170,60,0,12,3,0,1,0
"386",260,71,0,6,2,0,0,1
"387",130,64,1,14,3,0,1,0
"388",150,66,1,16,5,0,1,0
"389",130,65,0,17,3,0,1,0
"390",253,63,0,16,1,0,1,0
"391",225,72,1,12,4,0,1,0
"392",175,70,1,17,5,0,1,0
"393",157,62,0,15,3,0,1,0
"394",145,65,0,13,1,0,1,0
"395",150,63,0,8,1,0,0,1
"396",125,66,0,9,1,1,0,1
"397",160,65,0,11,3,1,0,1
"398",144,62,0,9,3,1,0,0
"399",130,66,1,9,3,0,0,1
"400",155,65,0,7,2,0,0,1
"401",210,66,0,14,3,0,1,0
"402",150,68,1,16,5,0,1,0
"403",160,63,0,12,4,0,1,0
"404",117,62,0,17,4,0,1,0
"405",180,64,0,14,3,0,1,0
"406",210,61,0,10,1,0,0,1
"407",168,69,1,13,3,0,1,0
"408",182,60,0,13,5,0,1,0
"409",115,63,0,12,2,0,1,0
"410",170,72,1,12,5,0,0,0
"411",200,67,1,12,4,0,0,0
"412",125,62,0,8,2,0,1,0
"413",138,64,1,8,3,0,1,0
"414",111,61,0,10,3,0,1,0
"415",165,62,0,12,3,0,1,0
"416",180,61,0,12,2,0,1,0
"417",142,66,1,8,1,0,1,0
"418",245,66,1,6,3,0,0,1
"419",125,66,0,7,1,1,1,0
"420",160,65,1,10,1,0,1,0
"421",156,66,0,12,5,0,0,0
"422",160,69,1,12,3,0,0,1
"423",135,61,0,8,1,0,1,0
"424",122,65,0,12,4,0,1,0
"425",150,61,0,10,1,0,0,1
"426",173,63,0,7,4,0,0,1
"427",177,63,0,11,1,1,0,1
"428",122,65,0,12,3,0,1,0
"429",150,65,0,13,5,0,1,0
"430",90,61,0,9,3,0,0,1
"431",190,66,0,9,2,1,1,0
"432",120,63,0,11,2,0,1,0
"433",140,67,1,5,1,0,1,0
"434",145,71,1,8,2,0,1,0
"435",210,73,1,14,2,0,1,0
"436",155,62,0,8,1,0,0,1
"437",140,63,0,13,5,0,1,0
"438",185,69,1,10,5,0,1,0
"439",150,61,0,12,5,0,1,0
"440",180,65,0,12,3,0,1,0
"441",180,72,1,14,2,0,1,0
"442",220,67,0,12,1,0,1,0
"443",167,69,0,14,4,0,1,0
"444",145,64,0,10,2,0,1,0
"445",145,65,0,8,5,0,0,1
"446",95,61,0,12,3,0,0,1
"447",225,70,1,12,1,0,0,1
"448",167,71,1,16,4,0,1,0
"449",138,63,0,14,1,0,1,0
"450",154,62,0,8,1,0,1,0
"451",190,61,0,9,1,0,0,1
"452",155,63,0,12,1,0,0,1
"453",175,71,1,12,1,0,1,0
"454",180,64,0,7,1,0,0,1
"455",175,67,0,9,3,1,0,1
"456",170,63,0,13,3,1,0,1
"457",123,64,0,10,2,0,1,0
"458",170,65,0,9,1,0,1,0
"459",185,61,0,8,5,0,1,0
"460",135,62,0,8,3,0,1,0
"461",150,62,0,10,4,0,1,0
"462",148,61,0,6,1,0,1,0
"463",195,71,1,16,5,0,1,0
"464",197,66,0,5,4,0,0,0
"465",129,65,0,12,5,0,1,0
"466",123,66,0,14,5,0,1,0
"467",192,73,1,17,5,0,1,0
"468",95,62,0,12,4,0,1,0
"469",115,64,0,12,3,0,1,0
"470",160,69,1,17,3,0,1,0
"471",158,62,0,8,5,0,1,0
"472",150,67,0,15,5,0,0,1
"473",250,75,1,14,3,0,0,1
"474",140,65,1,12,3,0,1,0
"475",165,67,0,15,3,0,0,1
"476",131,60,0,12,3,0,1,0
"477",230,64,0,8,2,0,0,1
"478",135,60,0,8,3,0,0,1
"479",110,63,0,12,3,0,0,1
"480",160,67,1,9,3,0,0,1
"481",102,60,0,8,1,0,1,0
"482",115,66,1,10,5,0,1,0
"483",165,68,1,13,3,0,0,1
"484",190,71,1,12,3,0,0,1
"485",112,64,0,11,1,1,1,0
"486",130,63,0,12,3,0,1,0
"487",85,66,0,10,3,0,1,0
"488",175,72,1,12,1,0,1,0
"489",149,67,1,14,3,0,0,1
"490",153,62,0,5,3,1,0,1
"491",234,64,0,7,4,1,0,1
"492",110,64,0,11,3,0,0,1
"493",155,67,1,17,1,0,0,1
"494",120,68,0,12,3,0,1,0
"495",185,71,1,14,3,0,0,1
"496",150,63,0,12,1,0,1,0
"497",160,68,1,12,1,0,1,0
"498",170,73,1,17,4,0,1,0
"499",170,63,0,14,3,0,0,1
"500",150,64,0,13,3,0,1,0
"501",256,65,0,11,3,1,0,1
"502",210,69,1,17,4,0,0,0
"503",83,60,0,12,1,0,1,0
"504",230,70,1,4,1,0,1,0
"505",130,63,0,7,3,0,0,1
"506",112,62,0,5,1,1,0,1
"507",160,65,0,10,1,0,0,1
"508",172,58,0,3,3,0,1,0
"509",164,71,0,12,3,0,1,0
"510",230,69,1,16,2,0,0,1
"511",140,61,0,10,3,0,1,0
"512",125,63,0,12,4,0,1,0
"513",158,68,0,12,2,1,1,0
"514",110,70,0,14,1,0,1,0
"515",137,63,0,9,1,0,0,1
"516",153,64,0,12,1,0,0,1
"517",120,65,0,17,3,0,1,0
"518",163,66,0,6,1,1,0,1
"519",236,67,0,8,1,0,1,0
"520",170,70,0,8,2,0,1,0
"521",185,67,1,12,2,0,0,1
"522",124,58,0,11,1,0,0,1
"523",152,64,0,12,3,0,0,1
"524",205,66,1,1,1,0,0,1
"525",92,75,1,7,2,1,0,1
"526",170,63,0,7,2,0,0,1
"527",170,62,0,3,1,0,0,1
"528",129,65,0,5,1,1,0,1
"529",178,68,0,12,4,0,0,1
"530",190,66,0,3,3,1,0,1
