Municipality,Establishment Count,VGT Count,Amount Played,Amount Won,Net Wager,Funds In,Funds Out,NTI,NTI Tax Rate (30%),State Share,Municipality Share
Green Oaks,1,3,165790.59,146575.06,19215.53,46766,27550.53,19215.47,5764.69,4803.91,960.78
Greenup,4,18,702442.68,646828.61,55614.07,223330,167715.99,55614.01,16684.37,13903.64,2780.73
Greenview,2,8,357652.8,336825.15,20827.65,91958,71130.35,20827.65,6248.43,5207.02,1041.41
Greenville,5,18,1635630.19,1514579.97,121050.22,428085,307034.78,121050.22,36315.43,30262.85,6052.58
Gridley,1,5,91347.96,79931.95,11416.01,27302,15885.99,11416.01,3424.86,2854.05,570.81
Griggsville,1,4,134868.39,120947.97,13920.42,35975,22054.58,13920.42,4176.1,3480.08,696.02
Gulfport,2,8,81498.98,73357.6,8141.38,22988,14846.76,8141.24,2442.46,2035.39,407.07
Hamel,2,7,737986.52,684558.64,53427.88,193831,140332.07,53498.93,16049.65,13374.72,2674.93
Hamilton,2,8,446455.73,407375.28,39080.45,152865,113784.65,39080.35,11724.15,9770.14,1954.01
Hammond,1,4,144530.45,132711.88,11818.57,47142,35323.43,11818.57,3545.6,2954.67,590.93
Hampshire,7,33,2226735.6,2040817.44,185918.16,661118,475283.99,185834.01,55750.57,46458.81,9291.76
Hampton,2,10,348288.42,319636.26,28652.16,89760,61107.68,28652.32,8595.78,7163.15,1432.63
Hanna City,3,9,406793.91,380786.06,26007.85,111142,85134.15,26007.85,7802.41,6502.01,1300.4
Hanover,2,8,154274.12,143662.46,10611.66,43909,33297.38,10611.62,3183.55,2652.96,530.59
Hanover Park,6,30,4083281.31,3762869.14,320412.17,1254464,933964.78,320499.22,96150.14,80125.13,16025.01
Hardin,2,6,166917.21,153949.76,12967.45,47641,34672.93,12968.07,3890.5,3242.09,648.41
Harmon,1,5,269431.86,251738.6,17693.26,76295,58601.74,17693.26,5308.02,4423.36,884.66
Harrisburg,14,66,3666059.03,3409470.68,256588.35,956922,700334.42,256587.58,76976.86,64147.38,12829.48
Harristown,2,10,785088.85,724422.22,60666.63,260792,200125.41,60666.59,18199.94,15166.62,3033.32
Hartford,2,9,199777.78,183723.93,16053.85,54775,38720.86,16054.14,4816.31,4013.59,802.72
Harvard,16,74,2819908.03,2597860.69,222047.34,916619,694571.13,222047.87,66614.91,55512.45,11102.46
Harvel,1,3,32798.07,28551.28,4246.79,10887,6640.2,4246.8,1274.04,1061.7,212.34
Harvey,9,38,1914779.46,1755431.21,159348.25,601478,442129.77,159348.23,47804.79,39837.34,7967.45
Havana,7,28,1218815.69,1125447.37,93368.32,382533,289151.81,93381.19,28014.58,23345.48,4669.1
Hazel Crest,1,5,163202.93,151391.79,11811.14,53637,41825.86,11811.14,3543.38,2952.82,590.56
Hebron,2,10,546762.99,499534.65,47228.34,177832,130605.32,47226.68,14168.16,11806.81,2361.35
Hecker,1,5,119272.41,111475.94,7796.47,38675,30879.02,7795.98,2338.78,1948.98,389.8
