Municipality,Establishment Count,VGT Count,Amount Played,Amount Won,Net Wager,Funds In,Funds Out,NTI,NTI Tax Rate (30%),State Share,Municipality Share
Windsor (Shelby),3,11,337375.65,309373.03,28002.62,112807,84804.41,28002.59,8400.89,7000.73,1400.16
Winslow,1,3,77967.09,71832.44,6134.65,26397,20262.1,6134.9,1840.52,1533.76,306.76
Winthrop Harbor,9,41,3699258.22,3436602,262656.22,1122722,860066.6,262655.4,78797.03,65664.19,13132.84
Witt,1,3,96909.11,89015.62,7893.49,30116,22222.51,7893.49,2368.09,1973.41,394.68
Wood Dale,9,41,2669899.12,2457177.31,212721.81,811970,599247.57,212722.43,63817.18,53180.99,10636.19
Wood River,13,56,3593785.99,3344387.48,249398.51,996194,746795.46,249398.54,74819.97,62349.99,12469.98
Woodhull,3,13,1105384.98,1023943.73,81441.25,299448,217881.88,81566.12,24469.94,20391.62,4078.32
Woodridge,5,21,1008624.78,925890.17,82734.61,319760,237026.79,82733.21,24820.13,20683.44,4136.69
Woodson,1,5,230017.2,213123.7,16893.5,65831,48937.37,16893.63,5068.13,4223.44,844.69
Woodstock,22,99,5477712.94,5027588.14,450124.8,1804866,1354741.26,450124.74,135038.2,112531.9,22506.3
Worden,1,3,126995.05,115327.75,11667.3,33058,21390.6,11667.4,3500.24,2916.87,583.37
Worth,13,61,5023800.02,4642104.71,381695.31,1489886,1108190.52,381695.48,114509.29,95424.41,19084.88
Wyanet,1,5,161600.27,148307.51,13292.76,48732,35439.24,13292.76,3987.94,3323.29,664.65
Wyoming,2,8,248230.11,231719.2,16510.91,74471,57960.18,16510.82,4953.31,4127.76,825.55
Yates City,2,7,255735.26,233880.89,21854.37,73462,51607.68,21854.32,6556.3,5463.58,1092.72
Yorkville,14,64,2476467.89,2269631.55,206836.34,771580,564742.92,206837.08,62051.79,51709.85,10341.94
Zeigler,2,7,266081.16,250373.57,15707.59,68536,52828.41,15707.59,4712.35,3926.96,785.39
Zion,6,29,3560880.55,3279514.3,281366.25,1188803,907436.85,281366.15,84410.28,70341.9,14068.38
