year,sex,educ,attend,reltrad,income,race,partyid,abany,abnomore,abrape,abdefect,homosex,owngun,gunlaw
1972,1,12,7,4,NA,1,0,NA,2,1,1,NA,NA,1
1972,2,8,7,4,NA,1,1,NA,2,1,1,NA,NA,1
1972,1,14,5,4,NA,1,0,NA,2,1,1,NA,NA,2
1972,1,12,7,4,NA,1,2,NA,1,1,1,NA,NA,1
1972,1,16,5,4,NA,1,0,NA,1,1,1,NA,NA,2
1972,2,14,7,4,NA,1,0,NA,2,1,2,NA,NA,1
1972,2,5,1,1,NA,1,5,NA,2,NA,1,NA,NA,1
1972,2,5,0,7,NA,1,0,NA,2,2,2,NA,NA,1
1972,1,12,0,7,NA,1,0,NA,1,1,1,NA,NA,1
1972,1,10,0,7,NA,1,2,NA,1,1,1,NA,NA,1
1972,2,3,2,1,NA,1,7,NA,2,2,2,NA,NA,NA
1972,1,12,7,1,NA,1,5,NA,2,NA,NA,NA,NA,1
1972,2,12,1,2,NA,1,7,NA,1,1,1,NA,NA,1
1972,1,12,1,2,NA,1,3,NA,2,1,1,NA,NA,1
1972,2,12,5,2,NA,1,1,NA,2,NA,NA,NA,NA,1
1972,1,12,7,3,NA,2,5,NA,2,2,1,NA,NA,1
1972,2,9,7,1,NA,1,1,NA,2,1,2,NA,NA,1
1972,2,7,7,1,NA,1,0,NA,2,2,1,NA,NA,1
1972,1,8,3,3,NA,2,1,NA,2,1,1,NA,NA,1
1972,2,12,3,3,NA,2,5,NA,2,1,1,NA,NA,1
1972,2,12,2,3,NA,2,1,NA,2,1,1,NA,NA,1
1972,1,16,2,3,NA,2,1,NA,2,1,1,NA,NA,1
1972,1,16,2,2,NA,1,3,NA,1,1,1,NA,NA,NA
1972,1,13,0,7,NA,2,3,NA,1,1,1,NA,NA,1
1972,2,12,2,1,NA,1,5,NA,2,1,1,NA,NA,1
1972,2,5,5,6,NA,1,1,NA,2,2,2,NA,NA,1
1972,2,12,1,1,NA,1,1,NA,1,1,1,NA,NA,1
1972,1,8,1,1,NA,1,0,NA,2,1,2,NA,NA,1
1972,1,10,6,1,NA,1,7,NA,NA,1,1,NA,NA,2
1972,1,13,1,2,NA,1,5,NA,1,1,1,NA,NA,1
1972,1,12,7,1,NA,1,7,NA,2,2,2,NA,NA,1
1972,2,12,7,4,NA,1,1,NA,2,1,1,NA,NA,1
1972,2,8,7,4,NA,1,4,NA,NA,1,1,NA,NA,1
1972,1,8,7,4,NA,1,1,NA,2,2,1,NA,NA,1
1972,2,12,7,4,NA,1,1,NA,2,1,1,NA,NA,1
1972,2,9,7,4,NA,1,2,NA,2,2,2,NA,NA,1
1972,1,18,7,4,NA,1,5,NA,1,1,1,NA,NA,NA
1972,2,9,7,4,NA,1,3,NA,1,1,1,NA,NA,1
1972,1,12,0,7,NA,1,3,NA,2,2,1,NA,NA,1
1972,1,10,7,4,NA,1,2,NA,2,2,2,NA,NA,1
1972,1,12,7,4,NA,1,2,NA,1,1,1,NA,NA,1
1972,1,12,4,4,NA,1,3,NA,1,1,1,NA,NA,2
1972,2,12,7,4,NA,1,0,NA,2,1,1,NA,NA,1
1972,1,7,7,4,NA,1,1,NA,1,1,1,NA,NA,1
1972,2,8,6,4,NA,1,1,NA,2,2,NA,NA,NA,2
1972,2,12,8,4,NA,1,0,NA,NA,NA,NA,NA,NA,1
1972,2,7,7,4,NA,1,7,NA,2,1,1,NA,NA,1
1972,2,11,7,3,NA,2,0,NA,2,1,2,NA,NA,1
1972,2,6,7,3,NA,2,0,NA,2,1,2,NA,NA,1
1972,1,14,1,3,NA,2,2,NA,NA,NA,NA,NA,NA,1
1972,1,12,5,3,NA,2,0,NA,1,1,1,NA,NA,1
1972,2,10,6,3,NA,2,1,NA,1,1,1,NA,NA,1
1972,1,12,4,3,NA,2,0,NA,2,1,2,NA,NA,2
1972,2,9,5,3,NA,2,1,NA,2,1,2,NA,NA,NA
1972,2,NA,1,3,NA,2,1,NA,2,2,2,NA,NA,NA
1972,1,11,5,3,NA,2,0,NA,2,2,2,NA,NA,1
1972,2,9,8,3,NA,2,0,NA,2,2,2,NA,NA,1
1972,2,12,4,3,NA,2,5,NA,2,1,1,NA,NA,2
1972,2,11,7,3,NA,2,5,NA,2,1,1,NA,NA,1
1972,1,12,4,3,NA,2,0,NA,2,1,1,NA,NA,1
1972,1,7,1,3,NA,2,1,NA,1,1,1,NA,NA,1
1972,1,0,5,3,NA,2,0,NA,2,1,1,NA,NA,1
1972,2,7,5,3,NA,2,5,NA,2,1,2,NA,NA,1
1972,1,11,4,4,NA,1,2,NA,2,1,1,NA,NA,1
1972,1,16,1,7,NA,1,0,NA,2,1,1,NA,NA,1
1972,2,0,4,4,NA,1,7,NA,1,1,1,NA,NA,1
1972,1,14,3,4,NA,1,1,NA,1,2,1,NA,NA,1
1972,2,8,7,4,NA,1,7,NA,2,1,1,NA,NA,1
1972,2,18,7,4,NA,1,0,NA,2,1,1,NA,NA,1
1972,1,12,0,1,NA,1,1,NA,1,1,1,NA,NA,1
1972,2,3,7,4,NA,1,7,NA,1,1,1,NA,NA,1
