"","score"
"1193",23.44
"1194",27
"1195",23.1
"1196",23.43
"1197",23.43
"1198",27
"1199",23.38
"1200",23.38
"1201",27
"1202",23.19
"1203",23.19
"1204",23.56
"1205",23.56
"1206",27
"1207",23.38
"1208",23.38
"1209",27
"1210",27
"1211",23.27
"1212",23.27
"1213",28
"1214",23.8
"1215",23.8
"1216",23.08
"1217",23.08
"1218",28
"1219",23.19
"1220",23.19
"1221",28
"1222",21.9
"1223",21.9
"1224",24.44
"1225",24.44
"1226",28
"1227",23.19
"1228",23.19
"1229",28
"1230",28
"1231",24.53
"1232",24.53
"1233",29
"1234",24
"1235",24
"1236",24.55
"1237",24.55
"1238",29
"1239",24.46
"1240",24.46
"1241",29
"1242",24.39
"1243",24.39
"1244",24.53
"1245",24.53
"1246",29
"1247",24.46
"1248",24.46
"1249",29
"1250",29
"1251",23.66
"1252",23.66
"1253",27
"1254",23.1
"1255",23.1
"1256",23.7
"1257",23.7
"1258",27
"1259",23.6
"1260",23.6
"1261",27
"1262",22.94
"1263",22.94
"1264",24.25
"1265",24.25
"1266",27
"1267",23.6
"1268",23.6
"1269",27
"1270",27
"1271",7.11
"1272",7.11
"1273",7.67
"1274",7
"1275",7.11
"1276",7.22
"1277",7
"1278",7.11
"1279",23.46
"1280",23.46
"1281",23.17
"1282",23.52
"1283",23.46
"1284",23.11
"1285",23.82
"1286",23.46
"1287",23.89
"1288",28
"1289",23.6
"1290",23.87
"1291",28
"1292",23.83
"1293",28
"1294",23.23
"1295",24.41
"1296",28
"1297",23.83
"1298",28
"1299",28
"1300",23.44
"1301",23.44
"1302",27
"1303",23.1
"1304",23.43
"1305",23.43
"1306",27
"1307",23.38
"1308",23.38
"1309",27
"1310",23.19
"1311",23.19
"1312",23.56
"1313",23.56
"1314",27
"1315",23.38
"1316",23.38
"1317",27
"1318",27
"1319",23.27
"1320",23.27
"1321",28
"1322",23.8
"1323",23.8
"1324",23.08
"1325",23.08
"1326",28
"1327",23.19
"1328",23.19
"1329",28
"1330",21.9
"1331",21.9
"1332",24.44
"1333",24.44
"1334",28
"1335",23.19
"1336",23.19
"1337",28
"1338",28
"1339",24.53
"1340",24.53
"1341",29
"1342",24
"1343",24
"1344",24.55
"1345",24.55
"1346",29
"1347",24.46
"1348",24.46
"1349",29
"1350",24.39
"1351",24.39
"1352",24.53
"1353",24.53
"1354",29
"1355",24.46
"1356",24.46
"1357",29
"1358",29
"1359",23.66
"1360",23.66
"1361",27
"1362",23.1
"1363",23.1
"1364",23.7
"1365",23.7
"1366",27
"1367",23.6
"1368",23.6
"1369",27
"1370",22.94
"1371",22.94
"1372",24.25
"1373",24.25
"1374",27
"1375",23.6
"1376",23.6
"1377",27
"1378",27
"1379",7.11
"1380",7.11
"1381",7.67
"1382",7
"1383",7.11
"1384",7.22
"1385",7
"1386",7.11
"1387",20.89
"1388",21
"1389",17.5
"1390",22.32
"1391",21
"1392",20.89
"1393",21
"1394",20.76
"1395",21.1
"1396",21
"1397",20.89
"1398",21
"1399",21
"1400",21.7
"1401",20
"1402",20.43
"1403",22.3
"1404",20
"1405",21.72
"1406",20
"1407",21.53
"1408",21.94
"1409",20
"1410",21.72
"1411",20
"1412",21.71
"1413",20.8
"1414",20.8
"1415",21
"1416",18.9
"1417",18.9
"1418",21.64
"1419",21.64
"1420",21
"1421",20.79
"1422",20.79
"1423",21
"1424",20.75
"1425",20.75
"1426",20.84
"1427",20.84
"1428",21
"1429",20.79
"1430",20.79
"1431",21
"1432",20.83
"1433",20.83
"1434",21.55
"1435",21.55
"1436",15
"1437",20
"1438",20
"1439",22.38
"1440",22.38
"1441",15
"1442",21.65
"1443",21.65
"1444",15
"1445",21.17
"1446",21.17
"1447",22.19
"1448",22.19
"1449",15
"1450",21.65
"1451",21.65
"1452",15
"1453",21.9
"1454",21.9
"1455",22.12
"1456",22.12
"1457",25
"1458",21.33
"1459",21.33
"1460",22.4
"1461",22.4
"1462",25
"1463",22.07
"1464",22.07
"1465",25
"1466",22.19
"1467",22.19
"1468",21.94
"1469",21.94
"1470",25
"1471",22.07
"1472",22.07
"1473",25
"1474",21.76
"1475",21.76
"1476",21.8
"1477",21.8
